"year","NW","NO","SW","SO","DE","countDE"
48,1.88319444444,1.55656470588,1.03634375,-1.60189361702,0.624809798271,347.0
49,-0.993027777778,-1.06652941176,-0.2410625,-0.500574468085,-0.669593659942,347.0
50,-2.38376388889,-2.26616470588,-2.68420833333,-1.48081914894,-2.19347550432,347.0
51,-1.02301388889,-0.834352941176,-1.14395833333,-0.704244680851,-0.92390778098,347.0
52,-1.970375,-2.15614117647,-2.40086458333,-2.02676595745,-2.15025360231,347.0
53,-0.501833333333,-0.863023529412,-2.27657291667,-1.74113829787,-1.41702305476,347.0
54,2.47441666667,1.37148235294,1.25284375,-0.352776595745,1.10042074928,347.0
55,2.40051388889,1.8302,0.193645833333,-2.01560638298,0.453968299712,347.0
56,2.73458333333,2.76929411765,2.83213541667,1.41924468085,2.41375792507,347.0
57,-0.828277777778,-0.0665647058824,0.157864583333,2.58444680851,0.555616714697,347.0
58,-1.04811111111,-0.497329411765,-1.0875625,-1.12720212766,-0.94553314121,347.0
59,-1.53122222222,-1.10956470588,-1.84172916667,0.530968085106,-0.955204610951,347.0
60,1.26001388889,1.25472941176,0.736666666667,-0.566691489362,0.619089337176,347.0
61,-0.974263888889,-0.8118,-1.71782291667,-2.28371276596,-1.49489913545,347.0
62,-0.291791666667,-0.735682352941,-0.77375,-1.0715212766,-0.745086455331,347.0
63,0.206944444444,-0.00809411764706,-0.810666666667,-0.192159574468,-0.235374639769,347.0
64,0.999875,1.36477647059,0.513395833333,0.445936170213,0.804613832853,347.0
65,-0.627777777778,-0.205658823529,-1.44453125,-0.0873829787234,-0.603948126801,347.0
66,1.30095833333,1.4292,0.874145833333,-0.0839468085106,0.839129682997,347.0
67,-1.90911111111,-1.69404705882,-1.80204166667,-2.21088297872,-1.90855619597,347.0
68,-2.20325,-1.64776470588,-1.85896875,-1.33314893617,-1.73622766571,347.0
69,-3.20865277778,-3.56003529412,-2.83902083333,-1.92309574468,-2.84421613833,347.0
70,-0.205791666667,-1.67023529412,-1.0344375,-1.49807446809,-1.14383861671,347.0
71,1.36604166667,1.02702352941,1.82790625,0.533904255319,1.18535446686,347.0
72,-2.33922222222,-2.24898823529,-0.2984375,-0.332287234043,-1.20885590778,347.0
